	ProgrammingLanguageName	QueryID	PairID	QueryText	CommentText	SimilarityScore
15875	PHP	75	markrogoyski_math-php_HanesWoolf_3571	kako rekurzivno raspakovati zip datoteku	Izračunaj regresione parametre metodom najmanjih kvadrata na linearizovanim podacima.	0.0
76798	PHP	98	DesignPatternsPHP_DesignPatternsPHP_Kindle_6691	izlaz u html datoteku	 ovo je adaptirana klasa. U produkciji, ovo bi mogla da bude klasa iz drugog  paketa, neki kod proizvo?a?a. Primetiti da se koristi drugačija šema imenovanja i da implementacija radi nešto slično ali na drugačiji način. 	0.0
154150	PHP	50	mockery_mockery_Expectation_447	konverzija json u xml datoteku	Vrati niz sa formatiranim imenom metode i argumentima	0.0
22062	PHP	62	phacility_phabricator_class.phpmailer-lite_544	zamena http entiteta	Proverava da li string sadrži višebajtske karaktere	0.0
15599	PHP	99	markrogoyski_math-php_Eigenvector_2616	kako efikasno pročitati .csv datoteku	Broj redova koji sadrže sve nule, počevši od dna.	0.0
57717	PHP	17	Intervention_image_Encoder_587	dijagram rasejanja	Procesuiraj i vrati šifrovanu sliku kao PSD string.	0.0
131977	PHP	77	PrestaShop_PrestaShop_AttributeGroup_832	raspakivanje velikih datoteka	Briše trenutnu AttributeGroup-u iz baze podataka	0.0
88512	PHP	12	Intervention_image_ResetCommand_616	linearna regresija	Resetuje zadatu sliku u stanje rezervne kopije	0.0
35563	PHP	63	src_Regressors_KNNRegressor_944	sakrij atribute datoteke	KNN regresor. Verzija algoritma K najbližih suseda koja koristi prosek (srednju vrednost) ishoda predviđanja pogodnih za regresione probleme.	0.0
12895	PHP	95	markrogoyski_math-php_Average_3443	uklanjanja zaglavlja prilikom spajanja nekoliko datoteka	Geometrijska sredina. Tip sredine koji ukazuje centralnu naklonost ili tipičnu vrednost skipa brojeva koristeći proizvod njihovih vrednosti. (Za razliku od aritmetičke sredine koja koristi njihovu sumu).	0.0
21735	PHP	35	phacility_phabricator_class.phpmailer-lite_536	filtriranje niza	Sastavlja telo poruke. Ako ne uspe, vraća prazan string.	0.0
15451	PHP	51	markrogoyski_math-php_Divergence_3516	kako nasumično izabrati broj	Kulbak-Leiblerova divergencija, odnosno relativna entropija je mera razlike između dve raspodele verovatnoća.	0.0
25256	PHP	56	symfony_finder_MultiplePcreFilterIterator_1155	deserializacija json-a	Proverava da li je string prihvaćen od regex filtera. Ako nema regexps definisanih u klasi, ovaj metod će prihvatiti string. 	0.0
29663	PHP	63	thephpleague_csv_Writer_488	sakrij atribute datoteke	Dodaje jedan zapis u CSV dokument. Zapis je niz koji može da sadrži skalarne vrednosti, null vrednosti ili objekte koji imaju implementiran __toString metod.	0.0
