	ProgrammingLanguageName	QueryID	PairID	QueryText	CommentText	SimilarityScore_1	SimilarityScore_2	SimilarityScore_3	SimilarityScore_4
0	PHP	44	Intervention_image_AbstractEncoder_454	inicijalizacija niza	Postavi sliku za procesuiranje.	0	0	0	0
1	PHP	76	briannesbitt_Carbon_CarbonInterval_264	raspakivanje velikih datoteka	 Određuje da li je instanca veća (duža) ili jednaka drugoj	0	0	0	0
2	PHP	51	markrogoyski_math-php_Average_3439	normalna raspodela	Izračunajte srednji prosek liste brojeva	0	0	0	0
3	PHP	57	yiisoft_yii2_ReleaseController_979	dohvatanje jedinstvenog identifikatora trenutnog procesa	Izdvoja sadržaj changelog-a  za određenu verziju	0	0	0	0
4	PHP	58	PHPOffice_PHPWord_AbstractCollection_973	regex ne razlikuje velika i mala slova	Dodaj novi podatak u kolekciju.	0	0	0	0
5	PHP	74	thephpleague_csv_CharsetConverter_260	kako rekurzivno raspakovati zip datoteku	Pretvara csv strukturu kolekcija u utf-8	0	0	0	0
6	PHP	11	briannesbitt_Carbon_Language_373	linearna regresija	Vraća dugo ISO ime jezika.	0	0	0	0
7	PHP	34	bobthecow_psysh_ConfigPaths_1463	filtriranje niza	Vrati potencijalne putanje do direktorijuma koji bi mogli da sadrže konfiguraciju.	0	0	0	0
8	PHP	50	PHPOffice_PHPExcel_Cell_174	kako nasumično izabrati broj	Da li ova c?elija sadrži pravila za proveru podataka?	0	0	0	0
9	PHP	34	markrogoyski_math-php_Bernoulli_3212	filtriranje niza	Srednja vrednost raspodele.	0	0	0	0
10	PHP	13	markrogoyski_math-php_TrapezoidalRule_3032	upisivanje u csv datoteku	Koristite trapezoidno pravilo za približavanje konačnog integrala funkcije f(x). Naš ulaz može podržati ili skup nizova, ili funkciju povratnog poziva sa argumentima (za stvaranje niza nizova). Svaki niz u našem ulazu sadrži dva broja koji odgovaraju koordinatama (x, i) ili ekvivalentno, (x, f(x)), funkcije f(x) čiji konačni integral aproksimiramo. Granice konačnog integrala kojem se približavamo određene su našim ulazima. Primer: approximate([0, 10], [3, 5] , [10, 7]) približiće konačni integral funkcije koja proizvodi ove koordinate sa donjom granicom 0, a gornjom granicom 10. Primer: approximate(funkcija ($x) {vrati $x skup nizova procenom povratnog poziva u 5 ravnomerno raspoređenih tačaka između 0 i 4. Tada će se ovaj niz koristiti u našoj aproksimaciji	0	0	0	0
11	PHP	8	markrogoyski_math-php_LineweaverBurk_3583	grupisanje po izbrojanim podacima	Izračunajte parametre regresije za najmanje kvadrate na linearizovanim podacima.	0	0	0	0
12	PHP	18	BookStackApp_BookStack_ActivityService_740	lepo ispiši json	Daj novu instancu aktivnosti za trenutnog korisnika.	0	0	0	0
13	PHP	34	CachetHQ_Cachet_RemoveIncidentCommand_1173	filtriranje niza	 Kreiranje nove instance komande za uklanjanje incidenta.	0	0	0	0
14	PHP	59	briannesbitt_Carbon_CarbonPeriod_354	prilagođeni http odgovor greške	Nastavlja sa inkrementacijom trenutnog datuma dok ne dođe do validnog datuma ili se iteracija završi.	0	0	0	0
15	PHP	46	bobthecow_psysh_CodeCleaner_1456	pročitaj svojstva datoteke	Pretraživanje traga steka za datoteku u kojoj je korisnik nazvao Psi	0	0	0	0
16	PHP	64	Intervention_image_AbstractDecoder_428	levenshteinova slicnost stringova	Odredi da li je trenutni izvor podatka slike url.	0	0	0	0
17	PHP	24	Intervention_image_AbstractColor_410	parsiranje binarne datoteke u prilagođenu klasu	Računa heksadecimalnu vrednost trenutne instance boje.	0	0	0	0
18	PHP	33	Intervention_image_ExifCommand_551	nepromenjivi (readonly) niz	Pročitaj Exif podatke iz date slike. Beleška za Windows PHP korisnike: Da bi se koristila ova metoda potrebno je omogućiti mbstring i exif ekstenzije u okviru php.ini fajla.	0	0	0	0
19	PHP	47	PrestaShop_PrestaShop_Access_767	prekopiraj u klibord	Traži žeton po Module ID.	0	0	0	0
20	PHP	16	botman_botman_CodeIgniterCache_1305	dijagram rasejanja	Odre?uje da li stavka postoji u keš memoriji.	0	0	0	0
21	PHP	43	briannesbitt_Carbon_CarbonInterval_242	kako štiklirati checkbox	 Formatira instancu kao string koristeći forHumans() funkciju.	0	0	0	0
22	PHP	82	squizlabs_PHP_CodeSniffer_File_925	sve permutacije liste	Uklanja promenljive sačuvane u ovom fajlu koje više nisu potrebne.	0	0	0	0
23	PHP	40	yiisoft_yii2_BaseYii_991	kreiraj kolačić	Prikazuje niz koji predstavlja trenutnu verziju Iii okvira	0	0	0	0
24	PHP	98	thephpleague_csv_AbstractCsv_203	kako efikasno pročitati .csv datoteku	Vraća CSV dokument kao generator komada stringova.	0	0	0	0
25	PHP	2	Intervention_image_AbstractColor_407	pretvaranje string u datum	Inicijalizuje objekat boje od zadate R, G i B vrednosti.	0	0	0	0
26	PHP	87	markrogoyski_math-php_Descriptive_3482	parsiranje argumenata komandne linije	Deskriptivna statistika. Sažetak koji kvantitativno opisuje ili sumira obeležja skupa informacija.	0	0	0	0
27	PHP	60	symfony_http-foundation_IpUtils_8805	kako odrediti da li je string valida reč	Poredi dve IPv6 adrese. U slučaju davanja podmreže, ona proverava da li sadrži IP zahtev	0	1	1	1
28	PHP	21	PrestaShop_PrestaShop_Access_773	povezivanje na sql server	Ažuriranje (zastarelog) pristup modulu.	0	0	0	0
29	PHP	72	FriendsOfPHP_PHP-CS-Fixer_AbstractPhpdocTypesFixer_6892	toplotna mapa iz 3d koordinata	Abstraktna klasa popravljač predstavlja osnovnu klasu za popravljače čiji zadatak će biti ispravljanje tipova u PHPDoc.	0	0	0	0
30	PHP	56	ThingEngineer_PHP-MySQLi-Database-Class_MysqliDb_559	pronađi int unutar stringa	Ovaj metod vraća ID poslednje dodate stavke.	0	0	0	0
31	PHP	23	botman_botman_BotMan_553	određivanje proteklog vremena korišćenjem časovnika	Vrati nasumičnu poruku	0	0	0	0
32	PHP	33	composer_composer_InstalledVersions_2524	nepromenjivi (readonly) niz	Prikazuje listu svih prisutnih imena paketa, bilo instaliranjem, zamenom ili pružanjem	0	0	0	0
33	PHP	83	Intervention_image_Encoder_651	izvuci geografsku širinu i dužinu iz datog unosa	Procesuiraj i vrati šifrovanu sliku kao GIF string.	0	0	0	0
34	PHP	50	markrogoyski_math-php_NegativeBinomial_3244	kako nasumično izabrati broj	Negativna binomijalna raspodela (Paskalova raspodela)	0	0	0	0
35	PHP	19	Intervention_image_AbstractFont_471	zamena delova datoteke	Proveri da li trenutno izabrani font ima pristup primenjivom fajlu fonta.	0	0	0	0
36	PHP	24	symfony_finder_ExcludeDirectoryFilterIterator_1141	parsiranje binarne datoteke u prilagođenu klasu	Filtrira vrednosti iteratora	0	0	0	0
37	PHP	2	Intervention_image_File_483	pretvaranje string u datum	 Vra?a poptpuno kvalifikovanu putanju	0	0	0	0
38	PHP	22	PHPOffice_PHPExcel_Cell_178	html šifrovan string	Dohvati roditeljev radni list.	0	0	0	0
39	PHP	74	PrestaShop_PrestaShop_Attachment_822	kako rekurzivno raspakovati zip datoteku	Postavljanje ID-jeva proizvoda trenutnog priloga za povezivanje.	0	0	0	0
40	PHP	62	markrogoyski_math-php_KernelDensityEstimation_3533	sakrij atribute datoteke	Podrazumevana širina opsega kada nije obezbeđena. Koristi procenjivač širine opsega aproksimacije normalne distribucije	0	0	0	0
41	PHP	90	briannesbitt_Carbon_CarbonPeriod_278	otpakovanje podataka iz tekstualne datoteke	Analizirajte dati ISO 8601 string u niz argumenata	0	0	0	0
42	PHP	79	PHPOffice_PHPWord_TemplateProcessor_943	nasumično izvuci x stavki iz liste	Vrati broj svih promenljivih u šablonu.	0	0	0	0
43	PHP	85	Intervention_image_AbstractDecoder_432	pretvoriti uint8 niz u sliku	Odreid da li je trenutan izvor podatka primenjuje base64 šifrovanje.	0	0	0	0
44	PHP	33	Intervention_image_FlipCommand_668	nepromenjivi (readonly) niz	Preslikaj sliku	0	0	0	0
45	PHP	3	phalcon_cphalcon_functions_200	sortiranje string liste	Dohvatite sqlite db opcije	0	0	0	0
46	PHP	37	phacility_phabricator_class.phpmailer-lite_544	dohvati trenutnu vrednost posmatrača	Proverava da li string sadrži višebajtske karaktere	0	0	0	0
